content,cleaned,category,appVersion,at
I initiate a refund ...with a pic... when I got a insect in my food.first thing which I do make a call to restaurant they say that u shuld make a complain on zomato I register a complaint in Zomato the send me a mail it will take 72 hr Afrt 20 hr they send me another mail that soryy we are unable agr yahi Krna tha to bol dete pahle hi bol dete frod kr rhe ye sab restaurant ke sath mil kar b,initiate refund pic got insect foodfirst thing make call restaurant say u shuld make complain zomato register complaint zomato send mail take hr afrt hr send another mail soryy unable agr yahi krna tha bol dete pahle hi bol dete frod kr rhe ye sab restaurant ke sath mil kar b,"Payment/Refund Issues, Wrong/Missing Items",19.1.8,16-10-2025 11:51
Zomato sabse bda chor bnn chuka h iss time . they're not reachable in any case scenario ye apko galat food items deliver krenge aur fr reachable bhi nahi honge. Bina wjh k charges lgayenge aur naa ho koi chat support se connect kr payega aur na hi call . worst app,zomato sabse bda chor bnn chuka h iss time theyre reachable case scenario ye apko galat food items deliver krenge aur fr reachable bhi nahi honge bina wjh k charges lgayenge aur naa ho koi chat support se connect kr payega aur na hi call worst app,"Late Delivery, Payment/Refund Issues, Customer Support",,16-10-2025 11:45
Heavy price and heavy rate in Zomato hundred rupees item 200 rupees,heavy price heavy rate zomato hundred rupees item rupees,High Charges / Pricing,19.0.7,16-10-2025 11:44
"delivery experience is worst ,it have been 2.5 hrs for delivery of food and food is waste taste like awfull🤮and customer executive is not good they didn't solution we are regret and we sorry and give coupon for that restaurant if you don't want to order you have to order because of coupon you or otherwise waste of money don't order it will expire in 10 days and the amount is half what you have paid and wait for 2.5 hr for that order it waste money and time after taking zomato gold also to waste",delivery experience worst hrs delivery food food waste taste like awfulland customer executive good didnt solution regret sorry give coupon restaurant dont want order order coupon otherwise waste money dont order expire days amount half paid wait hr order waste money time taking zomato gold also waste,"Late Delivery, Payment/Refund Issues",18.2.0,16-10-2025 11:43
worst experience. swigy is best,worst experience swigy best,Other,19.2.2,16-10-2025 11:27
"very bad service and no help from customer support, don't order from Zomato, if you want your order on time DO NOT ORDER from zomato,just pathetic",bad service help customer support dont order zomato want order time order zomatojust pathetic,"Late Delivery, Customer Support",19.2.1,16-10-2025 11:20
Absolutely zero customer support. I ordered 250gms snacks and restaurant delivered just 100gms but ZOMATO did not help me with it.. I lost my money..,absolutely zero customer support ordered gms snacks restaurant delivered gms zomato help lost money,"Late Delivery, Payment/Refund Issues, Customer Support",19.2.2,16-10-2025 11:15
"Zomato sucks now. They have started tagging multiple orders together. While ordering it will show 20 to 30 minutes but after ordering it will take take 45 to 60 minutes.So orders like KFC and McDonald's are not served fresh and hot. F*@#£ you zomato. They have started a new service called vip and charges 50rs for that so if you want your order without any delay, you will have to use the vip service. F*@#& you again.",zomato sucks started tagging multiple orders together ordering show minutes ordering take take minutesso orders like kfc mcdonalds served fresh hot f zomato started new service called vip charges rs want order without delay use vip service f,"Late Delivery, Payment/Refund Issues, Customer Support",19.2.1,16-10-2025 11:12
bad customer support 😡,bad customer support,Customer Support,,16-10-2025 11:08
they removed the detailed reviews left by customers!! and now you can only view the rating. no pictures and no detailed reviews by the customer!! the only thing that sets zomato apart from swiggy and they removed it,removed detailed reviews left customers view rating pictures detailed reviews customer thing sets zomato apart swiggy removed,Other,,16-10-2025 11:04
worst service. West application don't install. worest customer care. not responding,worst service west application dont install worest customer care responding,Customer Support,19.2.2,16-10-2025 11:00
cancelled the order and not giving refund after agreeing their mistake over the call,cancelled order giving refund agreeing mistake call,"Late Delivery, Payment/Refund Issues",19.2.1,16-10-2025 10:35
aaj meia inka ek restaurant see khana order Kiya usma cockroach tha aur rice ma hair tha aur inse bat Kiya meia to bola ki aapko 190 ka coupon milaga aur vo muja abhi tak nhi mila ha dekho ye log kya karta ha bhai really meia nhi socha tha ki zamato aap se aisa ho sakta ha aur uska aaga ye log bol ta ha ki hum logo ko baki ka bhi customer dekhna ha aur bechma he chat end karka bhag gya 😡😡,aaj meia inka ek restaurant see khana order kiya usma cockroach tha aur rice hair tha aur inse bat kiya meia bola ki aapko ka coupon milaga aur vo muja abhi tak nhi mila ha dekho ye log kya karta ha bhai really meia nhi socha tha ki zamato aap se aisa ho sakta ha aur uska aaga ye log bol ta ha ki hum logo ko baki ka bhi customer dekhna ha aur bechma chat end karka bhag gya,Late Delivery,19.2.1,16-10-2025 10:13
zomato cheated for my order they rejected my order and am not returning my money also this is not good for all time,zomato cheated order rejected order returning money also good time,"Late Delivery, Payment/Refund Issues",19.1.8,16-10-2025 10:12
good,good,Other,19.2.2,16-10-2025 10:12
I requested to send cutlery but not provided by sender,requested send cutlery provided sender,Late Delivery,19.2.2,16-10-2025 10:06
zomato ask pnr no for no reason.. i am at the rail way station I just want to pick up my delivery by my self but it doesn't show any other option but pnr no,zomato ask pnr reason rail way station want pick delivery self doesnt show option pnr,Other,17.7.0,16-10-2025 09:57
The order got delayed for more than an hour.,order got delayed hour,"Late Delivery, Wrong/Missing Items",19.2.2,16-10-2025 09:31
Why can delivery guys able to rate customers now? what does that rating does for me? am i being judged for using your service. if you want remove rating system for delivery guys as well and not the other way around.,delivery guys able rate customers rating judged using service want remove rating system delivery guys well way around,Customer Support,19.2.2,16-10-2025 09:27
They are very robust on the cancellation policy. I pick the wrong address for delivery but thanks to Deepinder Goyal and Mr Chaddha for scamming/ Lootofying the customer. They wasted my time on customer support which leads to no turn back. Zero supprt and very pathetic service from Zomato.. I'll recommend to book directly from neae by restuarant you can actually save money on Delivery charges and the shares which he collect from Customer and restaurant. Download Eat sure or swiggy.,robust cancellation policy pick wrong address delivery thanks deepinder goyal mr chaddha scamming lootofying customer wasted time customer support leads turn back zero supprt pathetic service zomato ill recommend book directly neae restuarant actually save money delivery charges shares collect customer restaurant download eat sure swiggy,"Late Delivery, Payment/Refund Issues, Customer Support",19.2.2,16-10-2025 09:22
just ordered food and not delivered,ordered food delivered,Late Delivery,,16-10-2025 09:22
Totally fraud and taking high rate other than market,totally fraud taking high rate market,Other,19.1.3,16-10-2025 09:19
Very bad I booked for a food it was not delivered the delivery partner has delayed more than an hour is this a proper,bad booked food delivered delivery partner delayed hour proper,Late Delivery,19.2.2,16-10-2025 09:13
"Useless app. I joined Gold, but it looks they are just doing frauds....",useless app joined gold looks frauds,Other,,16-10-2025 09:03
third class experience shop price 100 and Zometo price double so and late deliver. partner employees many times two oder Marge and late deliver so delete this application and bad experience,third class experience shop price zometo price double late deliver partner employees many times two oder marge late deliver delete application bad experience,"Late Delivery, High Charges / Pricing",19.2.1,16-10-2025 09:01
"very bad delivery time they tolled 35 min,but exact delivery time is 1 hour and above",bad delivery time tolled minbut exact delivery time hour,Late Delivery,19.2.2,16-10-2025 08:56
please i request everyone one download Swiggy don't buy for food from zomato charge you 15 rs extra I am uninstalling this app thanking,please request everyone one download swiggy dont buy food zomato charge rs extra uninstalling app thanking,Payment/Refund Issues,19.1.8,16-10-2025 08:55
Terrible customer support,terrible customer support,Customer Support,19.2.1,16-10-2025 08:51
"Have ruined their services by putting up 2-3 deliveries, which increases the delivery time.",ruined services putting deliveries increases delivery time,"Late Delivery, Customer Support",,16-10-2025 08:50
can't see review of any restaurant ?,cant see review restaurant,Other,19.2.2,16-10-2025 08:42
"This app has a poor locator. Two times, my order has been cancelled. before ordering, it shows deliverable. Later shows not deliverable, when payment is done.",app poor locator two times order cancelled ordering shows deliverable later shows deliverable payment done,"Late Delivery, Payment/Refund Issues",19.2.2,16-10-2025 08:40
