content,cleaned,category,appVersion,at
"Just deleted, too much extra charges",deleted much extra charges,Payment/Refund Issues,19.2.1,08-10-2025 06:44
"Platform fee of 12 rupees even for Gold members? Your explanation didn't help. You earn money from restaurants and also from us for using the app. We can understand the delivery fee, price variation but what the hell is the platform handling fee? If you are inefficient to run the app smoothly, you can shut it down instead of cheating customers with a platform fee.",platform fee rupees even gold members explanation didnt help earn money restaurants also us using app understand delivery fee price variation hell platform handling fee inefficient run app smoothly shut instead cheating customers platform fee,"Late Delivery, Payment/Refund Issues, High Charges / Pricing, Customer Support",19.2.1,08-10-2025 06:40
"Zomato used to be a genuine and good delivery app. Now from the last 3-4 months they don't care what you want or how you want. Cancelling additional requests and naming that restaurants don't accept is one of their tricks. In the last few months they didn't assign any delivery partners, after wasting a complete hour when I complained all they suggested to me to refund and sit tight with an empty stomach. And it happened again n again and again. So I decided to delete the app and go out to eat.",zomato used genuine good delivery app last months dont care want want cancelling additional requests naming restaurants dont accept one tricks last months didnt assign delivery partners wasting complete hour complained suggested refund sit tight empty stomach happened n decided delete app go eat,"Payment/Refund Issues, Customer Support",14.6.2,08-10-2025 06:30
always faruding the people this is 4th time experience,always faruding people th time experience,Late Delivery,19.1.8,08-10-2025 06:21
Unfair and disrespectful. took my money twice and automatically redirected to some other address and phone number. when canceled no refund was given. never ordering on Zomato. cancelling my membership also. Shittiest app made by Indians. Dipender must be so stupid.,unfair disrespectful took money twice automatically redirected address phone number canceled refund given never ordering zomato cancelling membership also shittiest app made indians dipender must stupid,"Late Delivery, Payment/Refund Issues",19.1.8,08-10-2025 05:14
poor service,poor service,Customer Support,19.1.8,08-10-2025 05:00
"Not responding properly, when is the food quality issue",responding properly food quality issue,Other,,08-10-2025 04:49
Cash on delivery not available,cash delivery available,Other,,08-10-2025 04:44
they removed review man,removed review man,Other,19.2.0,08-10-2025 04:38
"Declining service, high delivery time for short distances (<2km), no complaints redressal and hiding behind chatbot to avoid resolution, now removed detail reviews. That's the last straw",declining service high delivery time short distances km complaints redressal hiding behind chatbot avoid resolution removed detail reviews thats last straw,"Late Delivery, Customer Support",19.1.8,08-10-2025 04:26
takes too long for everything and AI bot is stupid.,takes long everything ai bot stupid,Other,19.1.8,08-10-2025 04:25
Worst App ever..Swiggy is 100 times better than Zomato. My order was unexpectedly cancelled and refund is not initiated after couple of days so far. This is completely a strategy to loot customer's money,worst app everswiggy times better zomato order unexpectedly cancelled refund initiated couple days far completely strategy loot customers money,"Late Delivery, Payment/Refund Issues",,08-10-2025 04:19
"I had ordered food from Zomato on Sunday but the order was collected, I had placed the order and paid the money on the plate, then they told me that the hotel was closed, so due to technical issues the food order could not be cancelled. per mujhe rifund nahi millaa mera cash yesi chella gaya costumer service bhi bekaar he",ordered food zomato sunday order collected placed order paid money plate told hotel closed due technical issues food order could cancelled per mujhe rifund nahi millaa mera cash yesi chella gaya costumer service bhi bekaar,"Late Delivery, Payment/Refund Issues, High Charges / Pricing, App / Technical Issues, Customer Support",17.9.5,08-10-2025 04:17
overpriced,overpriced,High Charges / Pricing,,08-10-2025 04:11
"After Getting Order Always Say YOUR ORDER SLIGHTLY DELAY, Do Not Use This App, I am Really Very Disappointed.",getting order always say order slightly delay use app really disappointed,Late Delivery,19.1.8,08-10-2025 04:04
chor h chor thief 🪝 serves bad raw food and no support no help bad service ever don't support do not download bycott ZOMATO Mera refund do mene food fekha ganda rakha hua food slow delivery cold food FRAUD ALERT 😤,chor h chor thief serves bad raw food support help bad service ever dont support download bycott zomato mera refund mene food fekha ganda rakha hua food slow delivery cold food fraud alert,"Late Delivery, Payment/Refund Issues, Customer Support",19.1.2,08-10-2025 03:11
Do not use this app again all the restaurant connected to you give worse quality food and Zometo not regulate it and not taking any action.,use app restaurant connected give worse quality food zometo regulate taking action,Late Delivery,,08-10-2025 02:04
Worst experience every single time! Zomato keeps showing fake delivery times and gives useless apologies instead of fixing the issue.,worst experience every single time zomato keeps showing fake delivery times gives useless apologies instead fixing issue,Late Delivery,19.2.1,08-10-2025 01:56
I am not able to see reviews on the restaurants. Did you guys remove it,able see reviews restaurants guys remove,Other,19.1.8,08-10-2025 01:30
I see restaurant menu price and I see zomato price difference. zomato price double and also gst,see restaurant menu price see zomato price difference zomato price double also gst,High Charges / Pricing,18.7.5,08-10-2025 00:52
I am tired of complaining but the problem is not solved. The cash on delivery option has been closed for 1 month and the delivery boy does not come with the change.,tired complaining problem solved cash delivery option closed month delivery boy come change,Other,16.5.9,08-10-2025 00:50
This is the worst app. It seems they are backing a scammer restaurant. I'm in shock at how they still have a 4.6 rating... maybe they are forcing each and every employee to give them a 5-star rating.,worst app seems backing scammer restaurant im shock still rating maybe forcing every employee give star rating,Other,19.0.9,07-10-2025 23:56
"Dear Zomato and Domino's Teams, I am deeply disappointed with a recent order from Domino's Pizza in Ballygunge, placed via Zomato [include order ID, date, if available]. As a loyal customer, I expected the high quality Domino's was once known for, but this experience was unacceptable. The taco's stuffing was stale, and the pizza was undercooked with a rubbery crust, making both inedible. I had to discard most of the order, except the breadsticks, which were satisfactory.",dear zomato dominos teams deeply disappointed recent order dominos pizza ballygunge placed via zomato include order id date available loyal customer expected high quality dominos known experience unacceptable tacos stuffing stale pizza undercooked rubbery crust making inedible discard order except breadsticks satisfactory,Late Delivery,19.1.8,07-10-2025 22:59
worst app and worst employees 🤬 keep delivery boys who know driving,worst app worst employees keep delivery boys know driving,Other,19.1.8,07-10-2025 22:06
the customer support for this app is so poor. does not matter what was your issue the virtual assistant has only one response that is I am sorry I will try not to do this again and yet will end up doing the same thing again. any grievances that you have will definitely not get resolved by ZIA,customer support app poor matter issue virtual assistant one response sorry try yet end thing grievances definitely get resolved zia,Customer Support,19.1.8,07-10-2025 21:57
"They are not giving good service, it is so hard to connect with an agent,orders are getting cancelled when I ordered late night.these guys are not maintaining restaurant number,they are updating invalid numbers.",giving good service hard connect agentorders getting cancelled ordered late nightthese guys maintaining restaurant numberthey updating invalid numbers,"Late Delivery, Customer Support",19.1.8,07-10-2025 21:52
"I had ordered for me and my friends, but we quickly changed our minds within a few mins, 2-3 mins after. I didn't know they would charge a full cancellation fee for the entire order and yeah, I reached out to their helpline to ask if there were any workarounds but yeah, USELESS. Overall, really disappointed that they treat their customers like this. Safe to say, my friends and I have stopped using this app. Please Do Better.",ordered friends quickly changed minds within mins mins didnt know would charge full cancellation fee entire order yeah reached helpline ask workarounds yeah useless overall really disappointed treat customers like safe say friends stopped using app please better,"Late Delivery, Payment/Refund Issues, Customer Support",19.1.8,07-10-2025 21:43
order is being delivered late of time,order delivered late time,Late Delivery,19.1.8,07-10-2025 21:36
not good bad service delivery not good time,good bad service delivery good time,"Late Delivery, Customer Support",,07-10-2025 21:22
the customer support is worst and they don't take any actions against the restaurant if from the restaurant side the order gets cancelled this is not fair,customer support worst dont take actions restaurant restaurant side order gets cancelled fair,"Late Delivery, Customer Support",,07-10-2025 21:19
They are cheaters...first taking an hour for delivering food when i cancelled the order because of this they charged all of the amount...where is my mistake if u compensate the restaurant than charged for 20%...how can u take all the amount without my consent and why u showed an hour at the tym of ordering because after that it is automatically takes 90 mins... and u call urself a reputed delivering firm no u are the fraudsters...i want my amount back.,cheatersfirst taking hour delivering food cancelled order charged amountwhere mistake u compensate restaurant charged u take amount without consent u showed hour tym ordering automatically takes mins u call urself reputed delivering firm u fraudstersi want amount back,"Late Delivery, Payment/Refund Issues",19.1.8,07-10-2025 21:11
"i placed an order through zomato and after half an hour they informed me that the order cannot be delivered, I again placed an order with McDonald's and after 35 minutes they cancelled my order again and that too without any reason or explanation. You cannot even get in touch with and representative to talk with. Worst experience am moving back to Swiggy",placed order zomato half hour informed order cannot delivered placed order mcdonalds minutes cancelled order without reason explanation cannot even get touch representative talk worst experience moving back swiggy,Late Delivery,19.1.8,07-10-2025 21:09
"The delivery estimation time always exceeds, I placed an order at 1:30 it's been 1 hour since I did not get my order yet. The support system doesn't work properly. If I get the wrong items they tell us to mail our query.",delivery estimation time always exceeds placed order hour since get order yet support system doesnt work properly get wrong items tell us mail query,"Late Delivery, Wrong/Missing Items, Customer Support",19.1.8,07-10-2025 21:03
worst app ever restaurant is just 5 mins away but they were delivering in an hour I asked them to cancel but they said they can't cancel later they cancelled themselves because restaurant closed down really sad I am empty stomach and these guys don't care,worst app ever restaurant mins away delivering hour asked cancel said cant cancel later cancelled restaurant closed really sad empty stomach guys dont care,"Late Delivery, Customer Support",19.1.8,07-10-2025 20:41
I order 3 item but I got only to item one item was missing in my order and I paid for 3 items and the delivery men was changed . will Zomato pay me for that one item or give me that item ??,order item got item one item missing order paid items delivery men changed zomato pay one item give item,"Late Delivery, Wrong/Missing Items",19.1.8,07-10-2025 20:32
"such a worse app to deliver, I ordered food from sector 7, wanted to deliver in sector 7, app let the delivery guy pick up my order from sector 7 then deliver another order at Sector 14 and then ask him to deliver the order at sector 7. such a waste of food, cold food to eat ist because of their nonsense algorithm to deliver food. I'm not sure, whether I should laugh or what to do",worse app deliver ordered food sector wanted deliver sector app let delivery guy pick order sector deliver another order sector ask deliver order sector waste food cold food eat ist nonsense algorithm deliver food im sure whether laugh,Late Delivery,,07-10-2025 20:25
Why there's no option to reach the customer care. This clearly shows the amount of responsibility. Useless chatbot and no handover to the live agent.,theres option reach customer care clearly shows amount responsibility useless chatbot handover live agent,Customer Support,19.1.8,07-10-2025 19:51
Lowering rating to 2 stars until they implement a direct line to a human agent from the AI chatbot for premium/gold customers.,lowering rating stars implement direct line human agent ai chatbot premiumgold customers,Other,19.1.8,07-10-2025 19:29
"Extremely pathetic customer complaint handling, confusing app, hardly any offers . If you end up facing any issue, you can kiss your luck goodbye to get any kind of resolution. will STRONGLY advice against ordering from Zomato. life will be much easier with just swiggy",extremely pathetic customer complaint handling confusing app hardly offers end facing issue kiss luck goodbye get kind resolution strongly advice ordering zomato life much easier swiggy,Late Delivery,19.1.7,07-10-2025 19:28
charged me full price even after I canceled my order is ordered 745 worth food it at least 200 would be fine 1 min was only taken it showed 1 hour of preparation,charged full price even canceled order ordered worth food least would fine min taken showed hour preparation,"Late Delivery, Payment/Refund Issues, High Charges / Pricing",19.1.8,07-10-2025 19:05
"bed delivery service, always late delivery, no refund policy",bed delivery service always late delivery refund policy,"Late Delivery, Payment/Refund Issues, Customer Support",19.1.8,07-10-2025 19:04
"the app is very bad, they don't provide good service. I have ordered food that was very bad I shared images with customer help chat but they didn't solved it. First of all delivery boy came very late but in app it was showing on time and they don't provide proper help about food , in images food is different and when it comes it is totally different. very waste very useless app and services.",app bad dont provide good service ordered food bad shared images customer help chat didnt solved first delivery boy came late app showing time dont provide proper help food images food different comes totally different waste useless app services,"Late Delivery, Customer Support",19.1.8,07-10-2025 19:00
not time to time delivery and not support zomato,time time delivery support zomato,"Late Delivery, Customer Support",19.1.8,07-10-2025 18:44
Late Service,late service,"Late Delivery, Customer Support",19.1.8,07-10-2025 18:33
Why is the detailed review section removed?!???! It was the only thing that helped me order from new restaurants. Going to uninstall zomato 👎🏻👎🏻👎🏻👎🏻,detailed review section removed thing helped order new restaurants going uninstall zomato,"Late Delivery, Customer Support",19.1.8,07-10-2025 18:24
"worst food delivery application, deleted permanently. they'll charge you for everything, ghost charges, inflated prices and the delivery experience is always worst, they'll club 10 orders and make you wait till eternity",worst food delivery application deleted permanently theyll charge everything ghost charges inflated prices delivery experience always worst theyll club orders make wait till eternity,"Late Delivery, Payment/Refund Issues, High Charges / Pricing",18.3.5,07-10-2025 18:18
today's order delivered in 3 hrs when the restaurant was merely a km away from me.ill have to think twice before ordering from this app again.,todays order delivered hrs restaurant merely km away meill think twice ordering app,Late Delivery,19.1.8,07-10-2025 18:09
Not happy with zomato very bad service facing and the app is a dumb There is no options for to ask a help totally disappointed,happy zomato bad service facing app dumb options ask help totally disappointed,Customer Support,19.1.8,07-10-2025 17:56
Cheater application they are only good at looting the customer.,cheater application good looting customer,Other,19.1.8,07-10-2025 17:44
fake app,fake app,Other,19.1.7,07-10-2025 17:40
"I’m really disappointed with this app. The service quality has dropped significantly — the customer support is unresponsive and unhelpful. On top of that, the charges are much higher compared to similar apps offering better service. I hope the team improves their support",im really disappointed app service quality dropped significantly customer support unresponsive unhelpful top charges much higher compared similar apps offering better service hope team improves support,"Payment/Refund Issues, Customer Support",19.1.8,07-10-2025 17:36
"worst experience because even though I had zomato gold , I still had to pay a platform fee, and also get items with more price than the restaurant's original price",worst experience even though zomato gold still pay platform fee also get items price restaurants original price,High Charges / Pricing,,07-10-2025 17:34
good,good,Other,19.1.8,07-10-2025 17:33
best side,best side,Other,19.2.1,07-10-2025 17:28
worst delivery guy I have ever met in my life,worst delivery guy ever met life,Other,19.1.8,07-10-2025 17:23
the feedback and report has got even worse now I ordered something and got something else. And I complain then bot simply says sorry am I missing something here?,feedback report got even worse ordered something got something else complain bot simply says sorry missing something,"Late Delivery, Wrong/Missing Items",19.1.8,07-10-2025 17:23
poor delivery quality 🤬,poor delivery quality,Other,,07-10-2025 17:22
Pathetic service and very bad policy to be followed,pathetic service bad policy followed,Customer Support,19.1.8,07-10-2025 17:18
"The platform charge is raised so much it has reached 50% of delivery charge at this point.. whats the point of zomato gold????? And you are being less and less transparent to customers, why the heck hide the restaurant reviews from users?? to mask the bad reviews?? its just benefiting you at this point. All this to make more profit, you only see your users as money bags? right? no transparency just slap us with more platform fees and make us order from restaurants with no proper reviews.",platform charge raised much reached delivery charge point whats point zomato gold less less transparent customers heck hide restaurant reviews users mask bad reviews benefiting point make profit see users money bags right transparency slap us platform fees make us order restaurants proper reviews,"Late Delivery, Payment/Refund Issues",19.1.8,07-10-2025 17:10
maha kabara aap hai I have ordered from zamato but there team is totaly fail in solving customers problem,maha kabara aap hai ordered zamato team totaly fail solving customers problem,Late Delivery,,07-10-2025 17:04
delivery is too late. waiting from last 1Hrs and no delivery boy assigned to pick the order.,delivery late waiting last hrs delivery boy assigned pick order,Late Delivery,19.1.8,07-10-2025 17:04
Completely Worst Service.,completely worst service,Customer Support,19.1.8,07-10-2025 17:01
poor service,poor service,Customer Support,19.1.8,07-10-2025 16:58
bakwas,bakwas,Other,19.1.8,07-10-2025 16:57
Worst..No real time updates given. App manipulate location shows fake location of delivery partner..,worstno real time updates given app manipulate location shows fake location delivery partner,Late Delivery,19.2.1,07-10-2025 16:52
"suck a d deepinder goyal. with the amount you delay, grecia needs to leave you.",suck deepinder goyal amount delay grecia needs leave,Late Delivery,19.1.8,07-10-2025 16:51
"loosing its values, giving multiple parallel orders to the same delivery agents, readymade order being delivered after 1hour 20mins from an outlet less than 2km away. and now we are paying GST as well for pathetic zomato service, where Zomato is to blame, not resturant, not rider.",loosing values giving multiple parallel orders delivery agents readymade order delivered hour mins outlet less km away paying gst well pathetic zomato service zomato blame resturant rider,"Late Delivery, Customer Support",19.2.1,07-10-2025 16:48
they stole my money thieves I'll never zomato again already uninstalled cheaters. I have cancelled my order with in 4 minutes still they charged the whole amount. i always use zomato but never again after this.,stole money thieves ill never zomato already uninstalled cheaters cancelled order minutes still charged whole amount always use zomato never,"Late Delivery, Payment/Refund Issues",19.1.8,07-10-2025 16:45
very low quality service on urban cities as whenever I ordered in my city order always delayed just for name service provided to B town cities very pathetic experience try to maintain your name,low quality service urban cities whenever ordered city order always delayed name service provided b town cities pathetic experience try maintain name,"Late Delivery, Customer Support",,07-10-2025 16:38
"I had ordered at 8pm and now it's 10pm, still delivery partner not available even rain stoped 3hours backs..... if you can't deliver on time than close it......I am too hungry and can't wait even 01minute......close this app if you can't deliver on time.....",ordered pm pm still delivery partner available even rain stoped hours backs cant deliver time close iti hungry cant wait even minuteclose app cant deliver time,Late Delivery,,07-10-2025 16:25
"Customer support sucks.. Going back to Swiggy.. AFTER 6 years, still u guys suck",customer support sucks going back swiggy years still u guys suck,Customer Support,19.1.8,07-10-2025 16:25
the app has been becoming too casual on the products and products support is also of no affect,app becoming casual products products support also affect,Customer Support,19.1.8,07-10-2025 16:15
"Extremely poor service experience. I ordered tandoori chicken from Oberoi Dhaba, Mehrauli at 7:56 PM. Four different riders were assigned one after another, but none of them reached the restaurant. I kept calling and waiting for over an hour, then had to go to the restaurant myself to collect my food — even then, no rider came. The food was completely cold and unfit to eat. Despite repeated complaints, Zomato refused to give a refund. Totally unprofessional and disappointing experience.",extremely poor service experience ordered tandoori chicken oberoi dhaba mehrauli pm four different riders assigned one another none reached restaurant kept calling waiting hour go restaurant collect food even rider came food completely cold unfit eat despite repeated complaints zomato refused give refund totally unprofessional disappointing experience,"Late Delivery, Payment/Refund Issues, Customer Support",19.1.8,07-10-2025 16:13
delivery system is not good very poor,delivery system good poor,Other,,07-10-2025 16:10
It doesn't eliminate fraudulent restaurants from the app.,doesnt eliminate fraudulent restaurants app,Other,19.1.8,07-10-2025 16:06
"worst app ever...!!! ... like since they launched VIP mode, they dilyver normal orders late and do not provide any kind of chat support... .. I got my order 1.5 hours late.. very bad service Swiggy >>>>>>>>>Zomato...",worst app ever like since launched vip mode dilyver normal orders late provide kind chat support got order hours late bad service swiggy zomato,"Late Delivery, Wrong/Missing Items, Customer Support",19.1.7,07-10-2025 16:02
dish se jyada to delivery charge Or GST rehta he🤬,dish se jyada delivery charge gst rehta,Payment/Refund Issues,19.1.8,07-10-2025 16:00
worst app. if you have any problem regarding restaurants or their platform they didn't help you.,worst app problem regarding restaurants platform didnt help,Customer Support,,07-10-2025 15:55
this is very fake,fake,Other,19.1.8,07-10-2025 15:53
"on 7th October, I placed order from zomato and received burnt roti from restaurant, but zomato only made refund of 30 rupees where as I paid 80 plus taxes for that, kindly refund my full money with taxes as I can't eat burnt Roti stupid",th october placed order zomato received burnt roti restaurant zomato made refund rupees paid plus taxes kindly refund full money taxes cant eat burnt roti stupid,"Late Delivery, Payment/Refund Issues",,07-10-2025 15:52
Got scammed by @Zomato! 😡 Fed up of writing mails again and again — all I get are AI replies that don’t understand real human feelings. My order was marked as “delivered” without me ever getting it in hand! How is this even fair? Please stop relying only on bots and actually help your customers. This is unacceptable. #Zomato #Scammed #CustomerSupportFail,got scammed zomato fed writing mails get ai replies dont understand real human feelings order marked delivered without ever getting hand even fair please stop relying bots actually help customers unacceptable zomato scammed customersupportfail,"Late Delivery, Wrong/Missing Items, Customer Support",19.1.7,07-10-2025 15:46
"if we are paying for delivery charge then why my order is multi order pick and drop , is a fraud with customer 😒",paying delivery charge order multi order pick drop fraud customer,"Late Delivery, Payment/Refund Issues",19.1.8,07-10-2025 15:35
aapke yahan bahut mahanga item milta Hai,aapke yahan bahut mahanga item milta hai,Other,19.1.8,07-10-2025 15:33
"they are so damm expensive than the original menu pricing of a restaurant/food court front ,it's ridiculous",damm expensive original menu pricing restaurantfood court front ridiculous,High Charges / Pricing,19.1.8,07-10-2025 15:24
Worthless customer service and cancellation policy,worthless customer service cancellation policy,Customer Support,19.1.8,07-10-2025 15:21
Remove the rating for you option. it's totally irrelevant and I get confused with the actual rating of the restaurant. And why the hell did u guys remove the option to see customer reviews? So that you can hide all the bad reviews??,remove rating option totally irrelevant get confused actual rating restaurant hell u guys remove option see customer reviews hide bad reviews,Other,19.2.1,07-10-2025 15:13
Food delivered was so cold and not eatable due to absurd grouping and seems like it was not one of the issues which zomato recognises as genuine. seems like only delivering food is priority buy they dont care if its delivered cold and non eatable.,food delivered cold eatable due absurd grouping seems like one issues zomato recognises genuine seems like delivering food priority buy dont care delivered cold non eatable,Customer Support,,07-10-2025 15:11
ise kahate Hain goor dikha ke ite marna.,ise kahate hain goor dikha ke ite marna,Other,19.1.8,07-10-2025 15:09
Got 1 piece of chicken in Rs 395 briyani. and customer care didn't help,got piece chicken rs briyani customer care didnt help,"Wrong/Missing Items, Customer Support",,07-10-2025 15:03
"Hi guys, one of the worst food delivery partner. initially I entered correct address, because for the time i entered this new address, but after payment it was automatically changed to my default address. At once i cancelled the order. but they are as per their ""terms and conditions"" cancelled order are not refunded. purely this wasn't my fault. I think, this is their new scam. Uninstalled & thrown to trash.",hi guys one worst food delivery partner initially entered correct address time entered new address payment automatically changed default address cancelled order per terms conditions cancelled order refunded purely wasnt fault think new scam uninstalled thrown trash,"Late Delivery, Payment/Refund Issues",18.6.9,07-10-2025 14:52
zomato 💩🤬,zomato,Other,19.1.8,07-10-2025 14:29
Very poor service they deliver. Also the they fraud with coustomers to deliver improper or missing item orders many times. Also doesn't give any resolution after many complaints. Not recommended to use it's services.,poor service deliver also fraud coustomers deliver improper missing item orders many times also doesnt give resolution many complaints recommended use services,"Late Delivery, Wrong/Missing Items, Customer Support",19.1.8,07-10-2025 14:22
Bhai Zomato ka support system bahut khrb hai refund ni krte hai paise Khali latkate hai 😡😡😡😡😡,bhai zomato ka support system bahut khrb hai refund ni krte hai paise khali latkate hai,"Payment/Refund Issues, Customer Support",19.1.8,07-10-2025 14:22
bring back user reviews! they were very helpful,bring back user reviews helpful,Customer Support,19.1.8,07-10-2025 14:15
"CHEATER COMPANY DISPLAY ONLY LONG DISTANCE RESTAURANT FOR MORE CHARGES, MULTIPLE ORDER DELAYED MY FOOD",cheater company display long distance restaurant charges multiple order delayed food,"Late Delivery, Payment/Refund Issues",19.1.8,07-10-2025 14:14
third class app,third class app,Other,19.1.8,07-10-2025 14:13
why did you remove user reviews??,remove user reviews,Other,19.0.3,07-10-2025 14:10
bekar customer care support h,bekar customer care support h,Customer Support,19.1.2,07-10-2025 14:10
over charges with fake rain charges lotsssss better Swiggy or local vendors please everyone use zomato and take local hotel mobile nos and order them u will save money from Zomato they are looting us,charges fake rain charges lotsssss better swiggy local vendors please everyone use zomato take local hotel mobile nos order u save money zomato looting us,"Late Delivery, Payment/Refund Issues",19.1.8,07-10-2025 14:06
"I ordered a pork thali, but there was no pork included in it. Additionally, the food I received had an unpleasant smell. No resolution has been provided so far. It feels like you’re taking advantage of innocent customers.",ordered pork thali pork included additionally food received unpleasant smell resolution provided far feels like youre taking advantage innocent customers,Late Delivery,19.1.8,07-10-2025 14:06
"there responsibility about food is zero, after getting hair in my order there response you can never getting refund",responsibility food zero getting hair order response never getting refund,"Late Delivery, Payment/Refund Issues, Customer Support",19.1.8,07-10-2025 13:53
"worst. the restaurants are very near to my location in 1 km radius and this farzi aap shows 7.5 km, 8km so that they can loot us",worst restaurants near location km radius farzi aap shows km km loot us,Other,19.1.8,07-10-2025 13:53
The Zomato representative is not at all helpful. I have received completely uncooked food. The restaurant and the Zomato platform is not helping to resolve the issue.,zomato representative helpful received completely uncooked food restaurant zomato platform helping resolve issue,Customer Support,19.1.8,07-10-2025 13:52
very bad rate 😕 given 52.36rs for 9km delivery it's a bad ratting price for delivery boy .,bad rate given rs km delivery bad ratting price delivery boy,High Charges / Pricing,19.1.7,07-10-2025 13:47
Fraud app the distance shown in the app and google map is not the same at all.,fraud app distance shown app google map,Other,19.1.8,07-10-2025 13:32
I cant see written reviews anymore. This is a really bad update since i order my food after calculating the customer reviews. Cant believe they removed this super essential feature.,cant see written reviews anymore really bad update since order food calculating customer reviews cant believe removed super essential feature,Late Delivery,19.1.8,07-10-2025 13:24
negative rating for delievery time,negative rating delievery time,Late Delivery,19.1.8,07-10-2025 13:22
"Day by day they are increasing the platform fee, at first they just started with a term 'platform fee' in addition to the restaurant charges which is higher than the normal restaurant price + delivery fee + gst fee etc. Now they have raised the platform fee from 5 to 12.5. what a pity!",day day increasing platform fee first started term platform fee addition restaurant charges higher normal restaurant price delivery fee gst fee etc raised platform fee pity,"Payment/Refund Issues, High Charges / Pricing",19.1.8,07-10-2025 12:56
bad. this was high time coming. I had to speak up. they group orders and then force cold food on you. very bad. disappointing.,bad high time coming speak group orders force cold food bad disappointing,Late Delivery,19.1.9,07-10-2025 12:43
The worst app.. Food charge is 99 but the bill I need to pay is 253 for what can you guys explain... 154 rupees extra for what???,worst app food charge bill need pay guys explain rupees extra,Payment/Refund Issues,19.1.8,07-10-2025 12:36
👎,,Other,19.1.8,07-10-2025 12:15
support is at it worst state. I ordered kaju biryani and kova badam milk but got just a plain biryani and ended up with badam milk. I mailed to support they asked me send images and I had send them too. But finally they are like we can't do anything just rate the restaurant.,support worst state ordered kaju biryani kova badam milk got plain biryani ended badam milk mailed support asked send images send finally like cant anything rate restaurant,"Late Delivery, Wrong/Missing Items, Customer Support",,07-10-2025 12:10
"lauda fee , lesun fee, bhosda fee",lauda fee lesun fee bhosda fee,Other,13.3.7,07-10-2025 12:10
Chilli chicken me sweet Bana Kiya not good,chilli chicken sweet bana kiya good,Other,19.1.4,07-10-2025 11:56
zameto not interested,zameto interested,Other,19.1.8,07-10-2025 11:55
I wish I could give a minus star. as Zomato truly deserves it.. they keep clubbing orders even with gold membership and 30 minutes order takes 1 hour and you have to eat cold food.. i mean zomato should be ashamed of itself.. today finally i accept the bloody 500 rs. penalty and uninstalled the app. hell with you Zomato.. Wasted my time and money.,wish could give minus star zomato truly deserves keep clubbing orders even gold membership minutes order takes hour eat cold food mean zomato ashamed today finally accept bloody rs penalty uninstalled app hell zomato wasted time money,"Late Delivery, Payment/Refund Issues",,07-10-2025 11:54
New review - Placed an order with estimated time of 20 mins (1km). The delivery agent was chosen from 5 km + and quite late. Order arrived in 60 mins. Old valid review - Scheduled two orders back to back but one of them happened as immediate delivery. Immediately tried to cancel. No refund. Old valid review - This virtual assistant is useless. Now there is no option to connect with human customer care.,new review placed order estimated time mins km delivery agent chosen km quite late order arrived mins old valid review scheduled two orders back back one happened immediate delivery immediately tried cancel refund old valid review virtual assistant useless option connect human customer care,"Late Delivery, Payment/Refund Issues, Customer Support",19.1.8,07-10-2025 11:52
the app is not giving cash on delivery orders,app giving cash delivery orders,Late Delivery,,07-10-2025 11:47
no pin code available varybad,pin code available varybad,Other,19.1.8,07-10-2025 11:30
"Bring back the reviews, can't see any! The app otherwise is incredible in terms of food options and UI, plus the discounts and service are amazing.",bring back reviews cant see app otherwise incredible terms food options ui plus discounts service amazing,Customer Support,19.1.8,07-10-2025 11:23
customer support to bad 😔🤮,customer support bad,Customer Support,19.1.8,07-10-2025 11:19
worst of the worst I didn't see like this reckless behaviour I ordered food but the restaurant persons were given the wrong item I can raise a complaint in zomato they said we can't do anything what is this?? they are encouraged the restaurant mistakes,worst worst didnt see like reckless behaviour ordered food restaurant persons given wrong item raise complaint zomato said cant anything encouraged restaurant mistakes,"Late Delivery, Wrong/Missing Items",19.2.1,07-10-2025 11:18
"Removing detailed review from restaurant and two different type rating for same restaurant, Customer rating and Your rating, is a not a good move",removing detailed review restaurant two different type rating restaurant customer rating rating good move,Other,,07-10-2025 10:53
Pathetic..Always clubbing the orders to save money and delaying the deliveries... Horrible and Disgusting Service,patheticalways clubbing orders save money delaying deliveries horrible disgusting service,"Late Delivery, Payment/Refund Issues, Customer Support",19.1.8,07-10-2025 10:27
3class delivery 🤬,class delivery,Other,,07-10-2025 10:25
fraud app maine ek order krke cancel kiya tha jiski payment ma kr chuki thi or aab zomato vale payment return nhi krre 😡😡😡,fraud app maine ek order krke cancel kiya tha jiski payment kr chuki thi aab zomato vale payment return nhi krre,"Late Delivery, Payment/Refund Issues",19.1.8,07-10-2025 10:25
over charging on each item,charging item,Other,,07-10-2025 10:15
very poor delivery service have to wait 1 hr for a single dish lol that is 10 min away from the home due to injury i conducted the order and i m waiting form 1 hr,poor delivery service wait hr single dish lol min away home due injury conducted order waiting form hr,"Late Delivery, Customer Support",19.1.8,07-10-2025 10:13
ok,ok,Other,19.1.8,07-10-2025 09:57
costly,costly,High Charges / Pricing,,07-10-2025 09:46
